Column 1,Column 2,Column 3
WedOct 252:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedOct 258:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuOct 267:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriOct 278:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriOct 278:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SatOct 282:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatOct 288:00 PM,Bette Midler in Hello Dolly!,"Shubert Theatre-NYC
New York, NY"
SatOct 288:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SunOct 293:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
MonOct 307:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
MonOct 308:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueOct 317:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedNov 012:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedNov 018:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuNov 027:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriNov 038:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatNov 042:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatNov 042:00 PM,Hamilton - New York,"Richard Rodgers Theatre
New York, NY"
SatNov 048:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
MonNov 068:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueNov 077:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedNov 082:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedNov 088:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuNov 097:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriNov 108:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatNov 112:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatNov 118:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
MonNov 138:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueNov 147:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedNov 152:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedNov 158:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuNov 167:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriNov 178:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatNov 182:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatNov 188:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
MonNov 208:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueNov 217:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedNov 222:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedNov 228:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriNov 242:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriNov 248:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatNov 252:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatNov 258:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
MonNov 278:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueNov 287:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedNov 292:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedNov 298:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuNov 307:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriDec 018:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatDec 022:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatDec 028:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
MonDec 048:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueDec 057:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedDec 062:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedDec 068:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuDec 077:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriDec 088:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatDec 092:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatDec 098:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
MonDec 118:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueDec 127:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedDec 132:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedDec 138:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuDec 147:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriDec 158:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatDec 162:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatDec 168:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SunDec 178:00 PM,Blood Sweat and Tears,"BB Kings Blues Club-NYC
New York, NY"
MonDec 188:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueDec 197:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedDec 208:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuDec 218:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriDec 228:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatDec 232:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatDec 238:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
MonDec 258:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueDec 267:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedDec 272:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedDec 278:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuDec 288:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriDec 292:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriDec 298:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatDec 302:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatDec 308:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
MonJan 018:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueJan 027:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedJan 032:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedJan 038:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuJan 048:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriJan 058:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatJan 062:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatJan 068:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
MonJan 088:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
TueJan 097:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedJan 102:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
WedJan 108:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
ThuJan 118:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
FriJan 128:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatJan 132:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
SatJan 138:00 PM,Miss Saigon,"Broadway Theatre-NYC
New York, NY"
