,Date,Day,Event,Time,Venue
180,Oct 12,Thu,Hamilton - New York,7:00 PM,"Richard Rodgers Theatre
New York, NY"
181,Oct 13,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
182,Oct 13,Fri,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
183,Oct 14,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
184,Oct 14,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
185,Oct 14,Sat,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
186,Oct 16,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
187,Oct 17,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
188,Oct 17,Tue,Hamilton - New York,7:00 PM,"Richard Rodgers Theatre
New York, NY"
189,Oct 18,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
190,Oct 18,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
191,Oct 18,Wed,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
192,Oct 19,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
193,Oct 19,Thu,Hamilton - New York,7:00 PM,"Richard Rodgers Theatre
New York, NY"
194,Oct 20,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
195,Oct 20,Fri,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
196,Oct 21,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
197,Oct 21,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
198,Oct 21,Sat,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
199,Oct 23,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
200,Oct 24,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
201,Oct 25,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
202,Oct 25,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
203,Oct 26,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
204,Oct 27,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
205,Oct 27,Fri,Hamilton - New York,8:00 PM,"Richard Rodgers Theatre
New York, NY"
206,Oct 28,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
207,Oct 28,Sat,Bette Midler in Hello Dolly!,8:00 PM,"Shubert Theatre-NYC
New York, NY"
208,Oct 28,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
209,Oct 29,Sun,Hamilton - New York,3:00 PM,"Richard Rodgers Theatre
New York, NY"
210,Oct 30,Mon,Hamilton - New York,7:00 PM,"Richard Rodgers Theatre
New York, NY"
211,Oct 30,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
212,Oct 31,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
213,Nov 01,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
214,Nov 01,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
215,Nov 02,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
216,Nov 03,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
217,Nov 04,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
218,Nov 04,Sat,Hamilton - New York,2:00 PM,"Richard Rodgers Theatre
New York, NY"
219,Nov 04,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
220,Nov 06,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
221,Nov 07,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
222,Nov 08,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
223,Nov 08,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
224,Nov 09,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
225,Nov 10,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
226,Nov 11,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
227,Nov 11,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
228,Nov 13,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
229,Nov 14,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
230,Nov 15,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
231,Nov 15,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
232,Nov 16,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
233,Nov 17,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
234,Nov 18,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
235,Nov 18,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
236,Nov 20,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
237,Nov 21,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
238,Nov 22,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
239,Nov 22,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
240,Nov 24,Fri,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
241,Nov 24,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
242,Nov 25,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
243,Nov 25,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
244,Nov 27,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
245,Nov 28,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
246,Nov 29,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
247,Nov 29,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
248,Nov 30,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
249,Dec 01,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
250,Dec 02,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
251,Dec 02,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
252,Dec 04,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
253,Dec 05,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
254,Dec 06,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
255,Dec 06,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
256,Dec 07,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
257,Dec 08,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
258,Dec 09,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
259,Dec 09,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
260,Dec 11,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
261,Dec 12,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
262,Dec 13,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
263,Dec 13,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
264,Dec 14,Thu,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
265,Dec 15,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
266,Dec 16,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
267,Dec 16,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
268,Dec 17,Sun,Blood Sweat and Tears,8:00 PM,"BB Kings Blues Club-NYC
New York, NY"
269,Dec 18,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
270,Dec 19,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
271,Dec 20,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
272,Dec 21,Thu,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
273,Dec 22,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
274,Dec 23,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
275,Dec 23,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
276,Dec 25,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
277,Dec 26,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
278,Dec 27,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
279,Dec 27,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
280,Dec 28,Thu,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
281,Dec 29,Fri,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
282,Dec 29,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
283,Dec 30,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
284,Dec 30,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
285,Jan 01,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
286,Jan 02,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
287,Jan 03,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
288,Jan 03,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
289,Jan 04,Thu,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
290,Jan 05,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
291,Jan 06,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
292,Jan 06,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
293,Jan 08,Mon,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
294,Jan 09,Tue,Miss Saigon,7:00 PM,"Broadway Theatre-NYC
New York, NY"
295,Jan 10,Wed,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
296,Jan 10,Wed,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
297,Jan 11,Thu,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
298,Jan 12,Fri,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
299,Jan 13,Sat,Miss Saigon,2:00 PM,"Broadway Theatre-NYC
New York, NY"
300,Jan 13,Sat,Miss Saigon,8:00 PM,"Broadway Theatre-NYC
New York, NY"
